ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
OTJIOSJ,7,TIJJSO;TIJSOO;TJJSOO;TIJJOO,O;J;I;S,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8i0wwRpC8i0xwRpE8h0wwRpD8zhRpA8JeAgWGAv?PFgC0/AAA;v115@9gC8wwi0RpC8ywR4RpE8R4g0RpD8zhRpA8JeAgWGAv?eltCv/AAA;v115@9gC8Rpwwi0C8zhi0E8xwRpg0D8RpwwRpg0A8JeAgWG?AvP9wCv/AAA
TJOITLO,31,TTIJOO;TTILOO;TTLJOO;TTILJO;TILJOO,L;J;I;O;T,v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8RpilwwC8i0RpxwE8g0RpxwD8RpglywA8JeAgWG?AUHmPCvCBAA;v115@9gC8wwh0RpwhC8xwg0wwRpwhE8xwRpwhD8wwg0wwRp?whA8JeAgWGAve9wCKHBAA;v115@9gC8wwh0whRpC8xwg0wwwhRpE8xwwhRpD8wwg0wwwh?RpA8JeAgWGAve9wCKHBAA;v115@9gC8wwh0ilC8xwg0zhE8ywRpD8wwg0wwglRpA8JeAg?WGAvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8RpywD8glRpg0xwA8JeAgWG?AvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8Rpg0xwD8glRpywA8JeAgWG?AUHmPCpCBAA;v115@9gC8RpwhwwhlC8i0whxwglE8g0whxwglD8RpwhywA8?JeAgWGA0P9wCMHBAA;v115@9gC8wwRph0whC8xwRpg0wwwhE8RpxwwhD8wwRpg0ww?whA8JeAgWGAveNPCUHBAA;v115@9gC8wwRpwhh0C8xwRpwhg0wwE8RpwhxwD8wwRpwhg0?wwA8JeAgWGAveNPCUHBAA;v115@9gC8RpwwilC8i0zhE8g0xwRpD8RpwwglRpA8JeAgWG?AvP9wCvCBAA;v115@9gC8RpwwhlwhC8i0xwglwhE8g0xwglwhD8RpywwhA8?JeAgWGA0P9wCMHBAA;v115@9gC8wwRphlwhC8xwRpwwglwhE8g0ywwhD8wwi0glwh?A8JeAgWGAqe9VCUHBAA;v115@9gC8RpwwilC8zhRpg0E8xwRpg0D8Rpwwglh0A8JeAg?WGAKX9wCvCBAA;v115@9gC8wwhlRpwhC8ywglRpwhE8wwglRpwhD8ywRpwhA8?JeAgWGAveFgC0CBAA;v115@9gC8wwhlwhRpC8ywglwhRpE8wwglwhRpD8ywwhRpA8?JeAgWGAveFgC0CBAA;v115@9gC8wwRpwwhlC80wh0E8Rpwwg0glD8zhg0glA8JeAg?WGAqe9wCMHBAA;v115@9gC8wwg0wwilC8ywzhE8g0xwRpD8h0wwglRpA8JeAg?WGAveNPC0CBAA;v115@9gC8ilywC8i0RpxwE8g0RpxwD8glzhwwA8JeAgWGA0?PFgC0CBAA;v115@9gC8wwRpywC8xwRpglwwg0E8zhg0D8wwilh0A8JeAg?WGAqe9VCUHBAA;v115@9gC8RpwwilC8zhi0E8xwglwwg0D8RpzwA8JeAgWGA0?P9wCMHBAA;v115@9gC8wwRpi0C81wg0E8RpwwRpD8zhRpA8JeAgWGAve9?wCKHBAA;v115@9gC8RpwhwwhlC8i0whxwglE8g0whywD8RpwhxwglA8?JeAgWGA0P9wCMHBAA;v115@9gC8RpilwwC8i0zhE8g0glywD8RpzwA8JeAgWGA0P9?wCMHBAA;v115@9gC8RpwwhlwhC8i0xwglwhE8g0ywwhD8RpxwglwhA8?JeAgWGAqe9wCMHBAA;v115@9gC8wwRphlwhC8xwRpwwglwhE8RpxwwhD8wwRpwwgl?whA8JeAgWGAve9VCUHBAA;v115@9gC8wwRpwhhlC8xwRpwhwwglE8RpwhxwD8wwRpwhww?glA8JeAgWGAve9VCUHBAA
TJOLIOJ,14,TILJJO;TLJJOO;TILJOO;ILJJOO,O;I;J;T,v115@9gC8zhRpC8i0glwwRpE8g0xwRpD8ilwwRpA8JeAgWG?Av+CMCqCBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8wwzhglC8xwRpilE8i0RpD8wwRpg0RpA8JeAgWG?Av/dgCM+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8RpzhC8i0wwilE8g0xwRpD8RpwwglRpA8JeAgWG?Avu/VCP+AAA;v115@9gC8g0ywglwhC8i0ilwhE8g0wwRpwhD8i0RpwhA8Je?AgWGAvP9VC0/AAA;v115@9gC8i0whRpC8j0whRpE8g0glwhRpD8ilwhRpA8JeAg?WGAv/7LCv/AAA;v115@9gC8RpwwilC8zhglRpE8xwg0RpD8Rpwwi0A8JeAgWG?AKX9VCUHBAA;v115@9gC8wwi0glwhC8ywilwhE8h0RpwhD8i0RpwhA8JeAg?WGAve9VCq/AAA;v115@9gC8k0glC8zhilE8wwh0RpD8ywg0RpA8JeAgWGAvO8?LCq/AAA;v115@9gC8g0hlRpwhC8i0glRpwhE8g0glRpwhD8i0RpwhA8?JeAgWGAvPFgCs/AAA;v115@9gC8g0hlwhRpC8i0glwhRpE8g0glwhRpD8i0whRpA8?JeAgWGAvPFgCs/AAA
TJOTILZ,19,TILJZO;TTILJO;TTLJZO;TTILZO;TTILJZ;TTIJZO,T;Z;I;J;O;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8wwh0ilC8xwg0zhE8ywRpD8wwg0wwglRpA8JeAg?WGAvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8RpywD8glRpg0xwA8JeAgWG?AvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8Rpg0xwD8glRpywA8JeAgWG?AUHmPCpCBAA;v115@9gC8RpwhwwhlC8i0whxwglE8g0whxwglD8RpwhywA8?JeAgWGA0P9wCMHBAA;v115@9gC8RpwhBtwwC8i0whywE8g0whywD8RpwhwwBtA8Je?AgWGA0P9wCaHBAA;v115@9gC8RpBtwwwhC8i0ywwhE8g0ywwhD8RpwwBtwhA8Je?AgWGA0P9wCvXBAA;v115@9gC8wwi0hlC8xwzhglE8RpywD8wwRpg0wwglA8JeAg?WGAvOExCp/AAA;v115@9gC8RpwwhlwhC8i0xwglwhE8g0xwglwhD8RpywwhA8?JeAgWGA0P9wCMHBAA;v115@9gC8zhhlC8BtzwglE8i0xwD8Btwwg0wwglA8JeAgWG?A0fjWCU+AAA;v115@9gC8ilBtwwC8zhywE8RpywD8glRpwwBtA8JeAgWGAv?OOMC6CBAA;v115@9gC8ilBtwwC8zhywE8g0zwD8gli0BtA8JeAgWGAqOO?MC6CBAA
OTJISOJ,8,TIJJSO;TIJSOO;TJJSOO;TIJJOO,O;J;I;S,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8wwg0zhC8xwi0R4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCK+AAA;v115@9gC8i0wwRpC8i0xwRpE8h0wwRpD8zhRpA8JeAgWGAv?PFgC0/AAA;v115@9gC8wwi0RpC8ywR4RpE8R4g0RpD8zhRpA8JeAgWGAv?eltCv/AAA;v115@9gC8Rpwwi0C8zhi0E8xwRpg0D8RpwwRpg0A8JeAgWG?AvP9wCv/AAA
TJOLIJO,25,TILJJO;TLJJOO;TILJOO;TIJJOO;ILJJOO,O;I;J;L;T,v115@9gC8zhRpC8i0glwwRpE8g0xwRpD8ilwwRpA8JeAgWG?Av+CMCqCBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8wwzhglC8xwRpilE8i0RpD8wwRpg0RpA8JeAgWG?Av/dgCM+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8RpzhC8i0wwilE8g0xwRpD8RpwwglRpA8JeAgWG?Avu/VCP+AAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwRpi0C8xwzhg0E8i0RpD8wwRpg0RpA8JeAgWG?Av/NMCKHBAA;v115@9gC8i0ilC8zhRpg0E8wwg0Rpg0D8ywglh0A8JeAgWG?A0vCMCqCBAA;v115@9gC8zhh0C8ywhlh0E8Rpglh0D8wwRpglh0A8JeAgWG?Av/TPCU+AAA;v115@9gC8g0ywglwhC8i0ilwhE8g0wwRpwhD8i0RpwhA8Je?AgWGAvP9VC0/AAA;v115@9gC8i0whRpC8j0whRpE8g0glwhRpD8ilwhRpA8JeAg?WGAv/7LCv/AAA;v115@9gC8RpwwilC8zhglRpE8xwg0RpD8Rpwwi0A8JeAgWG?AKX9VCUHBAA;v115@9gC8wwi0glwhC8ywilwhE8h0RpwhD8i0RpwhA8JeAg?WGAve9VCq/AAA;v115@9gC8k0glC8zhilE8wwh0RpD8ywg0RpA8JeAgWGAvO8?LCq/AAA;v115@9gC8i0RpglC8zhilE8wwj0D8ywRpg0A8JeAgWGA0/7?LCKHBAA;v115@9gC8Rpwhi0C8i0whilE8g0whglwwg0D8RpwhywA8Je?AgWGA0P9VCKHBAA;v115@9gC8Rpi0whC8i0ilwhE8g0glwwg0whD8RpywwhA8Je?AgWGA0P9VCKHBAA;v115@9gC8RpwhilC8i0whglRpE8g0whg0RpD8Rpwhi0A8Je?AgWGAKXNPCMHBAA;v115@9gC8RpzhC8k0hlE8h0RpglD8Rpg0RpglA8JeAgWGAv?/TPCP+AAA;v115@9gC8RpzhC8i0glRpg0E8g0glRpg0D8Rphlh0A8JeAg?WGAKHUPCP+AAA;v115@9gC8RpilwhC8i0glRpwhE8h0RpwhD8Rpi0whA8JeAg?WGAKX9VCKHBAA;v115@9gC8Rpwhh0glC8i0whilE8g0whg0RpD8Rpwhg0RpA8?JeAgWGAvP9VCKHBAA;v115@9gC8Rph0glwhC8i0ilwhE8h0RpwhD8Rpg0RpwhA8Je?AgWGAvP9VCKHBAA
OTJISJO,7,TIJJSO;TIJSOO;TJJSOO;TIJJOO,O;J;I;S,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8wwg0zhC8xwi0R4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCK+AAA;v115@9gC8wwRpi0C8xwzhg0E8i0RpD8wwRpg0RpA8JeAgWG?Av/NMCKHBAA;v115@9gC8Rpwwi0C8zhi0E8xwRpg0D8RpwwRpg0A8JeAgWG?AvP9wCv/AAA
TJOILJZ,20,TILJJZ;TIJJZO;TILJJO;TILJZO,O;L;Z;J,v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhh0C8BtRph0wwE8Rpg0xwD8Bti0wwA8JeAgWG?A0vaFDK+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8i0ilC8zhRpg0E8wwg0Rpg0D8ywglh0A8JeAgWG?A0vCMCqCBAA;v115@9gC8wwilh0C8ywRph0E8glRph0D8zhh0A8JeAgWGAq?eFgCqCBAA;v115@9gC8ili0C8zhywE8Rpg0wwg0D8glRpi0A8JeAgWGAK?X9wCqCBAA;v115@9gC8wwi0hlC8ywzhE8h0RpglD8i0RpglA8JeAgWGAv?e9VCq/AAA;v115@9gC8g0ywhlC8i0zhE8g0wwRpglD8i0RpglA8JeAgWG?AvP9VC0/AAA;v115@9gC8g0ywglwhC8i0ilwhE8g0wwRpwhD8i0RpwhA8Je?AgWGAvP9VC0/AAA;v115@9gC8wwi0glwhC8ywilwhE8h0RpwhD8i0RpwhA8JeAg?WGAve9VCq/AAA;v115@9gC8k0glC8zhilE8wwh0RpD8ywg0RpA8JeAgWGAvO8?LCq/AAA;v115@9gC8i0RpglC8zhilE8wwj0D8ywRpg0A8JeAgWGA0/7?LCKHBAA;v115@9gC8Rpwhi0C8i0whilE8g0whywD8Rpwhglwwg0A8Je?AgWGA0P9VCv/AAA;v115@9gC8Rpwhi0C8i0whilE8g0whglwwg0D8RpwhywA8Je?AgWGA0P9VCKHBAA;v115@9gC8Rpi0whC8i0ilwhE8g0glwwg0whD8RpywwhA8Je?AgWGA0P9VCKHBAA;v115@9gC8g0ilRpC8zhi0E8glywg0D8i0wwRpA8JeAgWGA0?P9VCv/AAA;v115@9gC8Rpi0whC8i0ilwhE8g0ywwhD8Rpglwwg0whA8Je?AgWGAqe9VCv/AAA;v115@9gC8ilywC8i0Rpwwg0E8zhg0D8glg0Rph0A8JeAgWG?AqeFgCqCBAA;v115@9gC8i0BtglC8zhilE8wwh0BtD8ywi0A8JeAgWGAqO8?LC6/AAA
OTJSIJO,7,TIJJSO;TIJSOO;TJJSOO;TIJJOO,O;J;I;S,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8wwg0zhC8xwi0R4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCK+AAA;v115@9gC8wwRpi0C8xwzhg0E8i0RpD8wwRpg0RpA8JeAgWG?Av/NMCKHBAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA
TJOTIZL,12,TTILZO;TTILJO;TTILJZ;TTIJZO,J;Z;O;L,v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8wwh0ilC8xwg0zhE8ywRpD8wwg0wwglRpA8JeAg?WGAvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8RpywD8glRpg0xwA8JeAgWG?AvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8Rpg0xwD8glRpywA8JeAgWG?AUHmPCpCBAA;v115@9gC8RpwhBtwwC8i0whywE8g0whywD8RpwhwwBtA8Je?AgWGA0P9wCaHBAA;v115@9gC8RpBtwwwhC8i0ywwhE8g0ywwhD8RpwwBtwhA8Je?AgWGA0P9wCvXBAA;v115@9gC8wwBtilC8ywzhE8wwBtRpD8ywglRpA8JeAgWGAv?OOMC6CBAA;v115@9gC8ilBtwwC8zhywE8RpywD8glRpwwBtA8JeAgWGAv?OOMC6CBAA;v115@9gC8ilBtwwC8zhywE8g0zwD8gli0BtA8JeAgWGAqOO?MC6CBAA;v115@9gC8BtglywC8zhxwg0E8Btxwg0D8ilwwh0A8JeAgWG?Aqe9wC6CBAA
TJOILZJ,13,TILJJZ;TILJJO;TILJZO,O;Z;J,v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8wwi0hlC8ywzhE8h0RpglD8i0RpglA8JeAgWGAv?e9VCq/AAA;v115@9gC8g0ywhlC8i0zhE8g0wwRpglD8i0RpglA8JeAgWG?AvP9VC0/AAA;v115@9gC8g0ywglwhC8i0ilwhE8g0wwRpwhD8i0RpwhA8Je?AgWGAvP9VC0/AAA;v115@9gC8wwi0glwhC8ywilwhE8h0RpwhD8i0RpwhA8JeAg?WGAve9VCq/AAA;v115@9gC8k0glC8zhilE8wwh0RpD8ywg0RpA8JeAgWGAvO8?LCq/AAA;v115@9gC8Rpwhi0C8i0whilE8g0whywD8Rpwhglwwg0A8Je?AgWGA0P9VCv/AAA;v115@9gC8g0ilRpC8zhi0E8glywg0D8i0wwRpA8JeAgWGA0?P9VCv/AAA;v115@9gC8Rpi0whC8i0ilwhE8g0ywwhD8Rpglwwg0whA8Je?AgWGAqe9VCv/AAA;v115@9gC8i0BtglC8zhilE8wwh0BtD8ywi0A8JeAgWGAqO8?LC6/AAA;v115@9gC8g0BthlwhC8i0BtglwhE8g0ywwhD8i0wwglwhA8?JeAgWGAqe9VC6/AAA
TJOTZIL,9,TILJZO;TTILJO;TTLJZO;TTILJZ,T;Z;I;O,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8wwh0ilC8xwg0zhE8ywRpD8wwg0wwglRpA8JeAg?WGAvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8RpywD8glRpg0xwA8JeAgWG?AvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8Rpg0xwD8glRpywA8JeAgWG?AUHmPCpCBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8zhhlC8BtzwglE8i0xwD8Btwwg0wwglA8JeAgWG?A0fjWCU+AAA
TJOIZLJ,10,TIJJZO;TILJJZ;ILJJZO;TILJJO;TILJZO,L;O;T;Z;J,v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhh0C8BtRph0wwE8Rpg0xwD8Bti0wwA8JeAgWG?A0vaFDK+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8wwzhAtC8xwi0BtE8Rpi0D8wwRpg0Atg0A8JeAg?WGAvfjxCK+AAA;v115@9gC8wwi0hlC8ywzhE8h0RpglD8i0RpglA8JeAgWGAv?e9VCq/AAA;v115@9gC8g0ywhlC8i0zhE8g0wwRpglD8i0RpglA8JeAgWG?AvP9VC0/AAA;v115@9gC8i0ilC8zhglAtg0E8wwg0Btg0D8ywAth0A8JeAg?WGA0fbMCs/AAA;v115@9gC8g0BthlwhC8i0BtglwhE8g0ywwhD8i0wwglwhA8?JeAgWGAqe9VC6/AAA;v115@9gC8g0BtilC8i0zhE8g0BtRpD8i0glRpA8JeAgWGAv?PNFDqCBAA
TJOZTIL,9,TILJZO;TTILJO;TTLJZO;TTILZO;TTILJZ;TTIJZO,T;Z;I;J;O;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8zhhlC8BtzwglE8i0xwD8Btwwg0wwglA8JeAgWG?A0fjWCU+AAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA;v115@9gC8zhhlC8ywAtg0wwglE8Btg0xwD8wwAth0wwglA8?JeAgWGA0fjWCU+AAA;v115@9gC8ywilC8BtwwzhE8ywRpD8BtwwglRpA8JeAgWGAv?ubMC0CBAA
OTJSIOJ,6,TIJJSO;TIJSOO;TJJSOO,O;J;I,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8wwg0zhC8xwi0R4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCK+AAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA
TJOZTLI,11,TILJZO;TTILJO;TTLJZO;TTILJZ;TTIJZO,T;Z;I;O;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8ywRpglC8BtxwilE8xwi0D8BtwwRpg0A8JeAgWG?AqujWCUHBAA;v115@9gC8zhhlC8BtzwglE8i0xwD8Btwwg0wwglA8JeAgWG?A0fjWCU+AAA;v115@9gC8RpilwwC8i0glAtxwE8g0BtxwD8RpAtywA8JeAg?WGA0fjxCMHBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA;v115@9gC8zhhlC8ywAtg0wwglE8Btg0xwD8wwAth0wwglA8?JeAgWGA0fjWCU+AAA
OTJSOIJ,6,TIJJSO;TIJSOO;TJJSOO,O;J;I,v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8R4zhC8R4j0wwE8g0RpxwD8h0Rpg0wwA8JeAgWG?A0vaPCT+AAA;v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8wwg0zhC8xwi0R4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCK+AAA;v115@9gC8wwRpi0C8xwRpR4g0E8g0R4RpD8wwi0RpA8JeAg?WGAvvTxCv/AAA
TJOZILJ,11,TIJJZO;TILJJZ;TLJJZO;TILJJO;TILJZO,L;O;I;Z;J,v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhh0C8BtRph0wwE8Rpg0xwD8Bti0wwA8JeAgWG?A0vaFDK+AAA;v115@9gC8i0ilC8zhglRpE8wwh0RpD8ywi0A8JeAgWGAq+C?MCs/AAA;v115@9gC8j0hlC8zhi0E8wwg0RpglD8ywRpglA8JeAgWGAv?u3LCs/AAA;v115@9gC8wwzhAtC8xwi0BtE8Rpi0D8wwRpg0Atg0A8JeAg?WGAvfjxCK+AAA;v115@9gC8i0ilC8ywg0glAtg0E8RpBtg0D8wwRpAth0A8Je?AgWGAvfjxCs/AAA;v115@9gC8wwg0zhC8xwi0Atg0E8RpBtg0D8wwRpAth0A8Je?AgWGAvfjxCK+AAA;v115@9gC8i0ilC8ywAtglRpE8Btg0RpD8wwAtj0A8JeAgWG?AKnjxCs/AAA;v115@9gC8i0ilC8ywAtRpg0E8BtRpg0D8wwAtg0glh0A8Je?AgWGAKnjxCs/AAA;v115@9gC8i0ilC8zhglAtg0E8wwg0Btg0D8ywAth0A8JeAg?WGA0fbMCs/AAA;v115@9gC8g0BthlwhC8i0BtglwhE8g0ywwhD8i0wwglwhA8?JeAgWGAqe9VC6/AAA
