ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TJOZTOI,6,TTJZOO;TIJZOO;TTIJZO,I;T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
TJOZOTI,6,TTJZOO;TIJZOO;TTIJZO,I;T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
TJOOZTI,5,TTJZOO;TIJZOO,I;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA
TJOOZIT,5,TTJZOO;TIJZOO,I;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA
TJOSZOI,6,TIJSZO;TJSZOO;TIJSOO;TIJZOO,O;I;Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8BtzhC8ywR4RpE8R4g0RpD8wwBti0A8JeAgWGAK?3TxCa+AAA
TJOZOIT,5,TTJZOO;TIJZOO,I;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA
TJOZIOT,5,TTJZOO;TIJZOO,I;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA
TJOZITO,5,TIJZOO;TTIJZO,T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
JOTSTJZ,21,TTJJSO;TTJSZO;TTJJSZ;TTJJZO,Z;J;O;S,v115@9gC8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0A8JeAgWG?Aq+aFDqOBAA;v115@9gC8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpA8JeAgWG?Avu/wCz/AAA;v115@9gC8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpA8JeAgWG?Av/lFDqOBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8BtRph0C8ywRpg0wwE8i0xwD8wwBth0wwA8JeAg?WGA0f/wCvXBAA;v115@9gC8R4wwRpg0C8R4xwRpg0E8xwi0D8ywi0A8JeAgWG?AquHgCUNBAA;v115@9gC8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0A8JeAgWG?A0/dgCz/AAA;v115@9gC8R4g0ywC8R4j0wwE8g0RpxwD8h0RpxwA8JeAgWG?A0vaPCzOBAA;v115@9gC8wwR4i0C8zwi0E8xwg0RpD8R4wwg0RpA8JeAgWG?Av/VxCKNBAA;v115@9gC8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0A8JeAg?WGAq+KxCz/AAA;v115@9gC8wwR4i0C8zwRpg0E8xwi0D8R4wwRpg0A8JeAgWG?Aq+KxCKNBAA;v115@9gC8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8wwBti0C81wg0E8R4wwRpD8R4BtRpA8JeAgWGAv?OmPCzXBAA;v115@9gC8R4wwi0C8R4xwi0E8xwRpg0D8ywRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8R4wwg0RpC8R4xwi0E8xwg0RpD8ywi0A8JeAgWG?Aqu/wCTHBAA;v115@9gC8RpQ4ywC8i0R4xwE8h0Q4xwD8Rpi0wwA8JeAgWG?Aq+jPCUHBAA;v115@9gC8Rpwwi0C8i0xwQ4g0E8g0xwR4D8RpywQ4A8JeAg?WGA0vTxCKHBAA;v115@9gC8i0ywC8BtQ4g0xwg0E8R4xwg0D8BtQ4wwh0A8Je?AgWGAq+jFD0/AAA;v115@9gC8RpzwC8i0ywg0E8g0wwR4g0D8RpR4h0A8JeAgWG?Aq+TxCKHBAA;v115@9gC8wwBtwwh0C80wh0E8R4wwh0D8R4Bth0A8JeAgWG?Aq+jPC0XBAA
TJOIZTO,10,TTIJOO;TTIZOO;TTIJZO;TIJZOO,Z;J;O;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA;v115@9gC8wwRph0whC8xwRpg0wwwhE8RpxwwhD8wwRpg0ww?whA8JeAgWGAveNPCUHBAA;v115@9gC8wwRpwhh0C8xwRpwhg0wwE8RpwhxwD8wwRpwhg0?wwA8JeAgWGAveNPCUHBAA;v115@9gC8ywRpwhC8BtxwRpwhE8xwRpwhD8BtwwRpwhA8Je?AgWGAveNFDvOBAA;v115@9gC8ywwhRpC8BtxwwhRpE8xwwhRpD8BtwwwhRpA8Je?AgWGAveNFDvOBAA;v115@9gC8wwRpywC8ywBtwwg0E8RpBtg0D8zhh0A8JeAgWG?AqeNFDUHBAA;v115@9gC8ywRpwhC8Btwwi0whE8ywg0whD8BtwwRpwhA8Je?AgWGA0PNFDUHBAA
